endereco_original,endereco_modificado,tipo_erro,label
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 794, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",NUMERO_ALTERADO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 796, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",NUMERO_ALTERADO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 797, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",NUMERO_ALTERADO,1
"AVENIDA BARREIRAS, 795, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA","AVENIDA BARREIRAS, 805, MIMOSO DO OESTE, 47850000, LUIS EDUARDO MAGALHAES, BA",NUMERO_ALTERADO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",ORIGINAL,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AV DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",ABREVIACAO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",SEM_TIPO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",SEM_ACENTO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS D JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",ERRO_DIGITACAO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 96, 44440900, SANTO ANTONIO DE JESUS, BA",SEM_BAIRRO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, SANTO ANTONIO DE JESUS, BA",SEM_CEP,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 94, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",NUMERO_ALTERADO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 95, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",NUMERO_ALTERADO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 97, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",NUMERO_ALTERADO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 98, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",NUMERO_ALTERADO,1
"AVENIDA DOIS DE JULHO, 96, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA","AVENIDA DOIS DE JULHO, 106, ERNESTO MELO, 44440900, SANTO ANTONIO DE JESUS, BA",NUMERO_ALTERADO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA",ORIGINAL,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","R DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA",ABREVIACAO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA",SEM_TIPO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA",SEM_ACENTO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JADAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA",ERRO_DIGITACAO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 54, 45810000, PORTO SEGURO, BA",SEM_BAIRRO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 54, CENTRO, PORTO SEGURO, BA",SEM_CEP,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 52, CENTRO, 45810000, PORTO SEGURO, BA",NUMERO_ALTERADO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 53, CENTRO, 45810000, PORTO SEGURO, BA",NUMERO_ALTERADO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 55, CENTRO, 45810000, PORTO SEGURO, BA",NUMERO_ALTERADO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 56, CENTRO, 45810000, PORTO SEGURO, BA",NUMERO_ALTERADO,1
"RUA DAS JANDAIAS, 54, CENTRO, 45810000, PORTO SEGURO, BA","RUA DAS JANDAIAS, 64, CENTRO, 45810000, PORTO SEGURO, BA",NUMERO_ALTERADO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA",ORIGINAL,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","R OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA",ABREVIACAO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA",SEM_TIPO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA",SEM_ACENTO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALD CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA",ERRO_DIGITACAO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 130, 45836000, ITAMARAJU, BA",SEM_BAIRRO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 130, CENTRO, ITAMARAJU, BA",SEM_CEP,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 128, CENTRO, 45836000, ITAMARAJU, BA",NUMERO_ALTERADO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 129, CENTRO, 45836000, ITAMARAJU, BA",NUMERO_ALTERADO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 131, CENTRO, 45836000, ITAMARAJU, BA",NUMERO_ALTERADO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 132, CENTRO, 45836000, ITAMARAJU, BA",NUMERO_ALTERADO,1
"RUA OSVALDO CRUZ, 130, CENTRO, 45836000, ITAMARAJU, BA","RUA OSVALDO CRUZ, 140, CENTRO, 45836000, ITAMARAJU, BA",NUMERO_ALTERADO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",ORIGINAL,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","R JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",ABREVIACAO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",SEM_TIPO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",SEM_ACENTO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENA DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",ERRO_DIGITACAO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 111, 14085020, RIBEIRAO PRETO, SP",SEM_BAIRRO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, RIBEIRAO PRETO, SP",SEM_CEP,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 109, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",NUMERO_ALTERADO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 110, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",NUMERO_ALTERADO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 112, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",NUMERO_ALTERADO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 113, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",NUMERO_ALTERADO,1
"RUA JUVENAL DE SA, 111, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP","RUA JUVENAL DE SA, 121, CAMPOS ELISEOS, 14085020, RIBEIRAO PRETO, SP",NUMERO_ALTERADO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF",ORIGINAL,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF",ABREVIACAO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF",SEM_TIPO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF",SEM_ACENTO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO  PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF",ERRO_DIGITACAO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, 70255010, BRASILIA, DF",SEM_BAIRRO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, BRASILIA, DF",SEM_CEP,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 0, ASA SUL, 70255010, BRASILIA, DF",NUMERO_ALTERADO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 1, ASA SUL, 70255010, BRASILIA, DF",NUMERO_ALTERADO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 3, ASA SUL, 70255010, BRASILIA, DF",NUMERO_ALTERADO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 4, ASA SUL, 70255010, BRASILIA, DF",NUMERO_ALTERADO,1
"QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 02, ASA SUL, 70255010, BRASILIA, DF","QUADRA SHCS SQ 406 BLOCO A PLL 01 PARTE LOJA, 12, ASA SUL, 70255010, BRASILIA, DF",NUMERO_ALTERADO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",ORIGINAL,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AV JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",ABREVIACAO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",SEM_TIPO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",SEM_ACENTO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSEA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",ERRO_DIGITACAO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 395, 38414016, UBERLANDIA, MG",SEM_BAIRRO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, UBERLANDIA, MG",SEM_CEP,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 393, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",NUMERO_ALTERADO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 394, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",NUMERO_ALTERADO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 396, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",NUMERO_ALTERADO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 397, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",NUMERO_ALTERADO,1
"AVENIDA JOSE FONSECA E SILVA, 395, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG","AVENIDA JOSE FONSECA E SILVA, 405, LUIZOTE DE FREITAS, 38414016, UBERLANDIA, MG",NUMERO_ALTERADO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC",ORIGINAL,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AV DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC",ABREVIACAO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC",SEM_TIPO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC",SEM_ACENTO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDR BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC",ERRO_DIGITACAO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 184, 88137270, PALHOCA, SC",SEM_BAIRRO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, PALHOCA, SC",SEM_CEP,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 182, PEDRA BRANCA, 88137270, PALHOCA, SC",NUMERO_ALTERADO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 183, PEDRA BRANCA, 88137270, PALHOCA, SC",NUMERO_ALTERADO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 185, PEDRA BRANCA, 88137270, PALHOCA, SC",NUMERO_ALTERADO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 186, PEDRA BRANCA, 88137270, PALHOCA, SC",NUMERO_ALTERADO,1
"AVENIDA DA PEDRA BRANCA, 184, PEDRA BRANCA, 88137270, PALHOCA, SC","AVENIDA DA PEDRA BRANCA, 194, PEDRA BRANCA, 88137270, PALHOCA, SC",NUMERO_ALTERADO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",ORIGINAL,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AV DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",ABREVIACAO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",SEM_TIPO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",SEM_ACENTO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMRICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",ERRO_DIGITACAO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMERICAS, 03443, 22631003, RIO DE JANEIRO, RJ",SEM_BAIRRO,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, RIO DE JANEIRO, RJ",SEM_CEP,1
"AVENIDA DAS AMERICAS, 03443, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ","AVENIDA DAS AMERICAS, 3441, BARRA DA TIJUCA, 22631003, RIO DE JANEIRO, RJ",NUMERO_ALTERADO,1
